Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	AT_content	GC_content	A	C	G	T	K	M	R	Y	S	W	B	V	H	D	X	N	O	-	?
AHE-L243.fasta	121	1479	178959	22606	12.632	660	0.446	435	0.294	0.513	0.487	38871	37240	38753	41432	0	0	25	31	0	0	0	1	0	0	0	286	0	22320	0
AHE-L244.fasta	119	900	107100	9217	8.606	490	0.544	327	0.363	0.581	0.419	29991	18952	21986	26898	0	0	17	38	0	0	0	0	1	0	0	554	0	8663	0
AHE-L245.fasta	122	1671	203862	13194	6.472	699	0.418	489	0.293	0.502	0.498	52755	54826	39958	42984	4	2	46	53	3	3	13	10	7	4	0	106	0	13088	0
AHE-L246.fasta	116	1242	144072	30206	20.966	569	0.458	251	0.202	0.638	0.362	36202	18473	22619	36513	0	0	27	32	0	0	0	0	0	0	0	1546	0	28660	0
AHE-L247.fasta	109	1359	148131	18513	12.498	796	0.586	411	0.302	0.52	0.48	35227	34734	27606	31943	0	0	51	57	0	0	0	0	0	0	0	155	0	18358	0
AHE-L248.fasta	120	1344	161280	12691	7.869	857	0.638	594	0.442	0.512	0.488	44723	36818	35677	31331	0	2	15	19	0	1	0	1	2	0	0	47	0	12644	0
AHE-L25.fasta	121	1446	174966	24366	13.926	792	0.548	545	0.377	0.592	0.408	37528	31112	30299	51583	0	0	35	40	1	0	1	1	0	0	0	180	0	24186	0
AHE-L250.fasta	122	2145	261690	25769	9.847	1082	0.504	730	0.34	0.545	0.455	75563	52628	54525	53065	1	0	68	69	1	0	0	1	0	0	0	182	0	25587	0
AHE-L251.fasta	118	1836	216648	19626	9.059	1174	0.639	691	0.376	0.515	0.485	44616	43872	51590	56741	10	3	74	72	1	5	12	9	8	9	0	1245	0	18381	0
AHE-L252.fasta	118	1683	198594	18900	9.517	278	0.165	60	0.036	0.607	0.393	59391	34033	36501	49691	0	0	39	37	0	1	0	1	0	0	0	2801	0	16099	0
AHE-L253.fasta	118	1704	201072	26943	13.4	661	0.388	305	0.179	0.639	0.361	52839	28914	33633	58672	2	1	27	39	0	1	0	0	1	0	0	2530	0	24413	0
AHE-L254.fasta	120	1641	196920	28191	14.316	1060	0.646	740	0.451	0.574	0.426	60413	36990	34968	36250	0	0	69	35	2	1	1	0	0	0	0	160	0	28031	0
AHE-L256.fasta	114	588	67032	3772	5.627	245	0.417	138	0.235	0.602	0.398	19072	12014	13181	18970	0	0	11	12	0	0	0	0	0	0	0	579	0	3193	0
AHE-L257.fasta	122	1197	146034	11414	7.816	796	0.665	504	0.421	0.58	0.42	42619	28346	28032	35538	0	0	49	35	1	0	0	0	0	0	0	1574	0	9840	0
AHE-L259.fasta	121	1668	201828	9683	4.798	795	0.477	555	0.333	0.549	0.451	58374	40178	46414	47053	2	1	41	78	0	0	3	0	0	1	0	174	0	9509	0
AHE-L26.fasta	119	900	107100	9742	9.096	557	0.619	397	0.441	0.461	0.539	26375	29269	23155	18529	0	1	12	17	0	0	0	0	0	0	0	101	0	9641	0
AHE-L260.fasta	122	1884	229848	13668	5.947	625	0.332	434	0.23	0.536	0.464	60716	47524	52752	55135	0	1	23	26	0	0	1	1	0	1	0	225	0	13443	0
AHE-L261.fasta	122	1407	171654	8342	4.86	672	0.478	508	0.361	0.49	0.51	40971	41247	41928	39096	1	0	25	27	1	2	5	6	2	1	0	366	0	7976	0
AHE-L262.fasta	40	171	6840	86	1.257	65	0.38	44	0.257	0.497	0.503	2136	1227	2171	1220	0	0	0	0	0	0	0	0	0	0	0	12	0	74	0
AHE-L263.fasta	87	819	71253	4977	6.985	427	0.521	285	0.348	0.436	0.564	14942	21318	16055	13937	0	0	15	9	0	0	0	0	0	0	0	488	0	4489	0
AHE-L264.fasta	120	870	104400	1167	1.118	395	0.454	299	0.344	0.52	0.48	26301	24928	24550	27413	0	0	11	24	0	0	3	0	2	1	0	82	0	1085	0
AHE-L265.fasta	122	1410	172020	16673	9.692	576	0.409	306	0.217	0.5	0.5	38539	40209	37372	39157	0	1	21	25	0	3	7	5	5	3	0	77	0	16596	0
AHE-L266.fasta	122	654	79788	6717	8.419	221	0.338	116	0.177	0.537	0.463	21164	18981	14828	18056	2	1	11	19	1	0	1	2	4	1	0	270	0	6447	0
AHE-L267.fasta	121	1926	233046	13663	5.863	818	0.425	508	0.264	0.558	0.442	71326	49805	47160	50963	3	5	45	49	1	3	4	6	9	4	0	104	0	13559	0
AHE-L268.fasta	104	1380	143520	8833	6.155	964	0.699	735	0.533	0.521	0.479	35096	34905	29553	35000	2	2	63	59	1	0	3	0	2	1	0	277	0	8556	0
AHE-L269.fasta	122	1623	198006	3397	1.716	646	0.398	519	0.32	0.518	0.482	55418	47831	45880	45370	0	0	45	58	0	0	1	0	3	3	0	73	0	3324	0
AHE-L27.fasta	117	834	97578	2798	2.867	414	0.496	283	0.339	0.597	0.403	33228	18942	19204	23377	0	0	16	13	0	0	0	0	0	0	0	50	0	2748	0
AHE-L270.fasta	121	1209	146289	11409	7.799	593	0.49	440	0.364	0.52	0.48	38657	30777	33960	31404	0	2	34	41	0	1	2	0	2	0	0	87	0	11322	0
AHE-L271.fasta	120	1353	162360	6886	4.241	526	0.389	380	0.281	0.496	0.504	35970	37719	40582	41137	1	0	34	29	0	0	0	1	0	1	0	226	0	6660	0
AHE-L272.fasta	120	1452	174240	36947	21.205	814	0.561	547	0.377	0.493	0.507	36325	39118	30421	31227	0	2	69	123	1	0	2	1	2	2	0	864	0	36083	0
AHE-L273.fasta	122	1863	227286	14249	6.269	863	0.463	610	0.327	0.54	0.46	59195	46803	51196	55656	0	1	77	100	0	1	4	2	1	1	0	108	0	14141	0
AHE-L274.fasta	121	921	111441	10479	9.403	533	0.579	370	0.402	0.462	0.538	27757	27698	26489	18962	1	0	29	23	0	1	0	1	0	1	0	196	0	10283	0
AHE-L275.fasta	122	1437	175314	20489	11.687	884	0.615	618	0.43	0.509	0.491	46480	43328	32746	32205	0	0	36	28	0	0	0	0	1	1	0	79	0	20410	0
AHE-L276.fasta	122	1584	193248	8123	4.203	677	0.427	428	0.27	0.546	0.454	53729	44077	39840	47432	0	3	25	17	0	0	1	1	0	0	0	235	0	7888	0
AHE-L278.fasta	96	1344	129024	21375	16.567	775	0.577	586	0.436	0.449	0.551	29252	31597	27809	18899	0	0	30	61	0	0	0	0	1	0	0	194	0	21181	0
AHE-L279.fasta	71	1776	126096	23337	18.507	892	0.502	670	0.377	0.4	0.6	23900	31211	30398	17206	0	0	24	17	0	0	1	1	1	0	0	99	0	23238	0
AHE-L28.fasta	121	1443	174603	5734	3.284	619	0.429	401	0.278	0.563	0.437	51845	38717	34938	43275	0	1	30	55	0	3	0	0	4	1	0	206	0	5528	0
AHE-L280.fasta	110	537	59070	10163	17.205	215	0.4	102	0.19	0.574	0.426	14853	11307	9522	13200	0	0	16	9	0	0	0	0	0	0	0	295	0	9868	0
AHE-L281.fasta	103	1485	152955	20641	13.495	886	0.597	621	0.418	0.412	0.588	30107	43027	34775	24271	0	0	57	74	1	0	0	0	2	0	0	228	0	20413	0
AHE-L282.fasta	120	1134	136080	21369	15.703	717	0.632	519	0.458	0.467	0.533	28883	30502	30387	24863	1	0	32	40	0	0	1	1	1	0	0	464	0	20905	0
AHE-L283.fasta	105	1662	174510	15469	8.864	625	0.376	422	0.254	0.388	0.612	33797	56089	41168	27867	1	1	38	42	5	0	13	10	7	3	0	105	0	15364	0
AHE-L284.fasta	120	1656	198720	13372	6.729	538	0.325	405	0.245	0.471	0.529	48944	53090	44980	38195	2	3	27	55	3	2	11	6	20	10	0	302	0	13070	0
AHE-L285.fasta	121	1107	133947	3487	2.603	471	0.425	337	0.304	0.542	0.458	45670	27164	32499	25052	0	0	38	37	0	0	0	0	0	0	0	69	0	3418	0
AHE-L286.fasta	46	747	34362	5790	16.85	370	0.495	266	0.356	0.346	0.654	4673	10645	8154	5096	0	0	1	0	1	0	2	0	0	0	0	27	0	5763	0
AHE-L287.fasta	111	1632	181152	40386	22.294	1009	0.618	690	0.423	0.584	0.416	45691	26953	30371	37612	0	1	61	73	0	1	1	1	0	1	0	576	0	39810	0
AHE-L288.fasta	122	1497	182634	5986	3.278	532	0.355	380	0.254	0.57	0.43	47902	38512	37347	52725	3	6	60	72	1	4	2	3	9	2	0	96	0	5890	0
AHE-L289.fasta	120	1617	194040	9132	4.706	598	0.37	445	0.275	0.526	0.474	53134	40977	46590	43975	4	2	109	111	0	1	1	3	0	1	0	186	0	8946	0
AHE-L29.fasta	111	1338	148518	31839	21.438	1029	0.769	709	0.53	0.551	0.449	37454	25496	26805	26674	0	0	134	114	0	0	0	1	0	1	0	4549	0	27290	0
AHE-L290.fasta	120	1476	177120	21045	11.882	946	0.641	632	0.428	0.577	0.423	47407	31570	34340	42645	0	0	72	40	0	1	0	0	0	0	0	88	0	20957	0
AHE-L291.fasta	122	1224	149328	9331	6.249	582	0.475	396	0.324	0.54	0.46	43657	29160	35280	31830	0	0	29	36	0	0	3	0	1	1	0	142	0	9189	0
AHE-L292.fasta	68	1356	92208	24270	26.321	893	0.659	477	0.352	0.538	0.462	17870	14858	16236	18884	0	0	41	49	0	0	0	0	0	0	0	2421	0	21849	0
AHE-L293.fasta	44	774	34056	4412	12.955	367	0.474	257	0.332	0.382	0.618	7344	9452	8859	3979	0	1	3	2	0	0	1	2	1	0	0	28	0	4384	0
AHE-L294.fasta	95	1200	114000	11384	9.986	695	0.579	513	0.427	0.44	0.56	25572	27530	29770	19629	0	0	52	59	0	0	0	3	0	1	0	378	0	11006	0
AHE-L295.fasta	120	1707	204840	12334	6.021	741	0.434	499	0.292	0.608	0.392	59317	33814	41746	57589	0	0	15	25	0	0	0	0	0	0	0	223	0	12111	0
AHE-L296.fasta	120	1488	178560	6287	3.521	750	0.504	500	0.336	0.597	0.403	53787	31988	37334	49119	0	1	26	18	0	0	0	0	0	0	0	69	0	6218	0
AHE-L297.fasta	122	1059	129198	2387	1.848	417	0.394	282	0.266	0.542	0.458	28558	33928	24187	40116	1	0	7	12	0	0	0	1	0	1	0	216	0	2171	0
AHE-L298.fasta	120	1413	169560	8350	4.925	902	0.638	621	0.439	0.541	0.459	50448	35282	38718	36663	0	0	45	51	0	1	1	1	0	0	0	247	0	8103	0
AHE-L299.fasta	122	1809	220698	17595	7.972	924	0.511	633	0.35	0.497	0.503	50087	50808	51397	50671	1	1	54	71	3	0	4	2	1	3	0	331	0	17264	0
AHE-L3.fasta	119	1584	188496	26211	13.905	850	0.537	664	0.419	0.48	0.52	48461	40798	43499	29324	0	0	105	95	0	0	0	2	1	0	0	210	0	26001	0
AHE-L30.fasta	121	1629	197109	10439	5.296	561	0.344	305	0.187	0.592	0.408	57748	38362	37713	52798	0	1	19	20	1	0	0	0	4	4	0	112	0	10327	0
AHE-L300.fasta	118	1659	195762	25727	13.142	956	0.576	633	0.382	0.612	0.388	54834	33900	32062	49137	0	0	65	36	0	1	0	0	0	0	0	81	0	25646	0
AHE-L301.fasta	98	1830	179340	46828	26.111	671	0.367	506	0.277	0.37	0.63	25991	45380	38333	22721	2	2	13	53	6	1	4	3	3	0	0	291	0	46537	0
AHE-L302.fasta	113	921	104073	4726	4.541	461	0.501	339	0.368	0.491	0.509	26031	31799	18693	22757	0	0	31	36	0	0	0	0	0	0	0	52	0	4674	0
AHE-L303.fasta	122	1665	203130	10338	5.089	783	0.47	587	0.353	0.563	0.437	64901	44352	40059	43384	0	1	44	45	1	2	1	0	2	0	0	880	0	9458	0
AHE-L304.fasta	103	921	94863	4249	4.479	585	0.635	395	0.429	0.56	0.44	20572	21770	18048	30144	0	0	33	44	0	0	0	0	2	1	0	67	0	4182	0
AHE-L305.fasta	121	1614	195294	16151	8.27	397	0.246	200	0.124	0.554	0.446	51322	36492	43364	47927	1	0	27	9	0	0	0	1	0	0	0	431	0	15720	0
AHE-L306.fasta	117	1572	183924	17709	9.628	624	0.397	409	0.26	0.471	0.529	42421	48334	39897	35382	6	4	58	64	0	3	17	14	8	7	0	1615	0	16094	0
AHE-L307.fasta	122	1335	162870	8752	5.374	721	0.54	534	0.4	0.539	0.461	45490	33923	37027	37580	1	0	51	37	3	0	0	2	1	3	0	245	0	8507	0
AHE-L308.fasta	104	1059	110136	26279	23.86	671	0.634	485	0.458	0.435	0.565	21316	23507	23960	14978	0	0	47	48	0	0	0	1	0	0	0	226	0	26053	0
AHE-L309.fasta	114	1350	153900	2392	1.554	501	0.371	357	0.264	0.525	0.475	40799	32598	39402	38634	0	0	39	36	0	0	0	0	0	0	0	81	0	2311	0
AHE-L31.fasta	119	1641	195279	14515	7.433	846	0.516	598	0.364	0.558	0.442	59981	39321	40650	40711	2	1	58	36	0	1	1	1	0	1	0	655	0	13860	0
AHE-L310.fasta	77	231	17787	1903	10.699	131	0.567	80	0.346	0.504	0.496	4039	3656	4210	3962	0	0	7	10	0	0	0	0	0	0	0	14	0	1889	0
AHE-L311.fasta	120	1887	226440	11723	5.177	1032	0.547	771	0.409	0.504	0.496	58320	54260	52093	49938	1	0	45	53	1	0	1	2	2	1	0	182	0	11541	0
AHE-L312.fasta	120	1005	120600	11037	9.152	490	0.488	378	0.376	0.584	0.416	29277	23861	21666	34720	1	0	15	21	0	0	1	1	0	0	0	126	0	10911	0
AHE-L313.fasta	118	1605	189390	24907	13.151	874	0.545	599	0.373	0.604	0.396	62354	28880	36240	36935	0	1	49	19	0	3	0	0	0	2	0	522	0	24385	0
AHE-L314.fasta	122	1407	171654	5673	3.305	610	0.434	415	0.295	0.509	0.491	47896	42280	39167	36568	0	0	32	33	0	0	2	1	1	1	0	602	0	5071	0
AHE-L315.fasta	120	1086	130320	2648	2.032	373	0.343	307	0.283	0.54	0.46	38803	27422	31295	30121	0	0	6	21	1	0	1	0	2	0	0	209	0	2439	0
AHE-L316.fasta	121	1470	177870	26749	15.039	858	0.584	636	0.433	0.491	0.509	42325	39621	37362	31616	1	3	73	111	3	1	2	2	0	1	0	284	0	26465	0
AHE-L317.fasta	122	1485	181170	13644	7.531	691	0.465	488	0.329	0.466	0.534	41038	42650	46684	37002	3	4	43	55	13	4	12	11	4	3	0	288	0	13356	0
AHE-L318.fasta	121	1761	213081	46970	22.043	784	0.445	519	0.295	0.574	0.426	50513	35806	34681	45034	1	0	44	27	0	1	1	2	0	1	0	119	0	46851	0
AHE-L319.fasta	121	2067	250107	18564	7.422	1093	0.529	749	0.362	0.531	0.469	60323	55799	52798	62445	0	0	80	93	1	0	2	0	2	0	0	668	0	17896	0
AHE-L32.fasta	121	1251	151371	4842	3.199	678	0.542	446	0.357	0.473	0.527	27166	42883	34310	42123	1	0	22	23	0	0	0	0	1	0	0	71	0	4771	0
AHE-L320.fasta	115	690	79350	16592	20.91	348	0.504	205	0.297	0.513	0.487	16922	15128	15353	15327	0	0	14	12	0	0	0	0	2	0	0	77	0	16515	0
AHE-L321.fasta	122	1692	206424	11155	5.404	808	0.478	580	0.343	0.519	0.481	51351	45530	48396	49868	0	1	48	66	1	1	2	2	2	1	0	94	0	11061	0
AHE-L322.fasta	120	732	87840	1412	1.607	301	0.411	230	0.314	0.529	0.471	26201	19426	21242	19520	0	0	22	15	0	0	1	1	0	0	0	119	0	1293	0
AHE-L323.fasta	119	1479	176001	19116	10.861	961	0.65	657	0.444	0.582	0.418	54357	34064	31348	37015	1	2	64	29	0	1	1	0	1	2	0	122	0	18994	0
AHE-L324.fasta	108	612	66096	8858	13.402	335	0.547	206	0.337	0.533	0.467	16831	11937	14787	13663	0	0	5	15	0	0	0	0	0	0	0	295	0	8563	0
AHE-L325.fasta	89	1128	100392	17113	17.046	691	0.613	504	0.447	0.427	0.573	20667	24593	23133	14839	0	0	24	21	1	0	0	0	1	0	0	66	0	17047	0
AHE-L326.fasta	122	1344	163968	6849	4.177	615	0.458	443	0.33	0.5	0.5	45188	45012	33484	33321	0	1	55	56	0	0	0	0	0	2	0	164	0	6685	0
AHE-L327.fasta	120	1671	200520	10304	5.139	809	0.484	636	0.381	0.545	0.455	52770	40116	46469	50716	2	1	64	69	0	0	2	1	3	3	0	603	0	9701	0
AHE-L328.fasta	94	1269	119286	4745	3.978	796	0.627	589	0.464	0.524	0.476	31854	25849	28572	28173	0	0	47	44	1	1	0	0	0	0	0	99	0	4646	0
AHE-L329.fasta	118	1134	133812	10976	8.203	498	0.439	363	0.32	0.473	0.527	36330	32551	32229	21697	1	0	15	11	1	0	0	0	1	0	0	55	0	10921	0
AHE-L33.fasta	120	1281	153720	27098	17.628	710	0.554	510	0.398	0.466	0.534	29791	33393	34226	29121	1	0	41	45	1	0	0	0	2	1	0	281	0	26817	0
AHE-L330.fasta	117	1323	154791	15965	10.314	758	0.573	543	0.41	0.451	0.549	31033	39429	36698	31512	1	1	45	97	0	0	3	1	3	3	0	117	0	15848	0
AHE-L331.fasta	105	1473	154665	33408	21.6	922	0.626	597	0.405	0.541	0.459	39885	23636	31769	25899	0	0	36	30	0	1	0	0	1	0	0	1645	0	31763	0
AHE-L332.fasta	45	1239	55755	21947	39.363	687	0.554	422	0.341	0.412	0.588	6447	12320	7767	7230	5	7	7	6	3	3	2	6	2	3	0	362	0	21585	0
AHE-L333.fasta	122	1542	188124	7585	4.032	535	0.347	375	0.243	0.475	0.525	42444	55020	39599	43387	0	0	25	59	0	1	2	1	1	0	0	143	0	7442	0
AHE-L334.fasta	122	1785	217770	26190	12.026	916	0.513	683	0.383	0.508	0.492	57976	48799	45287	39322	1	3	105	79	1	1	1	3	1	1	0	267	0	25923	0
AHE-L335.fasta	119	1515	180285	21420	11.881	928	0.613	701	0.463	0.535	0.465	50214	39996	33853	34694	1	1	49	53	0	1	1	1	1	0	0	445	0	20975	0
AHE-L337.fasta	10	1314	13140	2523	19.201	707	0.538	374	0.285	0.314	0.686	1472	3790	3487	1868	0	0	0	0	0	0	0	0	0	0	0	198	0	2325	0
AHE-L338.fasta	122	1734	211548	11292	5.338	771	0.445	586	0.338	0.523	0.477	55813	44173	51366	48805	0	0	44	51	0	0	2	0	1	1	0	153	0	11139	0
AHE-L339.fasta	122	1635	199470	13135	6.585	590	0.361	439	0.269	0.477	0.523	48959	53310	44014	39895	1	4	47	69	2	1	11	12	4	6	0	262	0	12873	0
AHE-L34.fasta	122	1353	165066	9402	5.696	625	0.462	439	0.324	0.496	0.504	35378	42385	36056	41767	0	0	29	47	0	0	0	0	1	1	0	419	0	8983	0
AHE-L340.fasta	121	1086	131406	7523	5.725	521	0.48	339	0.312	0.519	0.481	33911	26563	33041	30345	0	1	15	6	0	0	0	1	0	0	0	402	0	7121	0
AHE-L341.fasta	120	1251	150120	8702	5.797	587	0.469	393	0.314	0.563	0.437	37459	34992	26654	42277	0	0	24	11	1	0	0	0	0	0	0	70	0	8632	0
AHE-L342.fasta	98	1581	154938	33309	21.498	724	0.458	531	0.336	0.397	0.603	27399	38834	34664	20682	2	2	21	18	2	0	3	0	1	1	0	148	0	33161	0
AHE-L343.fasta	119	1350	160650	7613	4.739	660	0.489	493	0.365	0.526	0.474	52783	33784	38731	27689	2	0	19	23	1	0	1	1	1	2	0	617	0	6996	0
AHE-L344.fasta	119	1410	167790	27766	16.548	859	0.609	621	0.44	0.457	0.543	39540	31241	44554	24593	1	0	50	44	0	1	0	0	0	0	0	550	0	27216	0
AHE-L345.fasta	107	1743	186501	43155	23.139	964	0.553	623	0.357	0.408	0.592	35091	51438	33657	22998	1	0	88	71	0	0	0	2	0	0	0	382	0	42773	0
AHE-L346.fasta	120	1965	235800	49759	21.102	1024	0.521	729	0.371	0.506	0.494	52080	47627	43643	42434	2	1	116	134	1	0	1	0	1	1	0	314	0	49445	0
AHE-L347.fasta	122	1839	224358	16050	7.154	687	0.374	416	0.226	0.489	0.511	57668	57688	48792	44060	1	1	31	36	0	4	10	7	6	4	0	88	0	15962	0
AHE-L348.fasta	110	1035	113850	4206	3.694	638	0.616	490	0.473	0.487	0.513	23204	32131	24005	30102	2	2	65	94	3	0	11	9	12	4	0	99	0	4107	0
AHE-L349.fasta	121	1530	185130	16872	9.114	695	0.454	482	0.315	0.535	0.465	45447	35863	42345	44526	1	2	43	27	0	1	0	1	1	1	0	142	0	16730	0
AHE-L35.fasta	118	1371	161778	11843	7.321	912	0.665	618	0.451	0.539	0.461	42695	37255	31826	38036	2	0	67	50	0	0	1	2	1	0	0	237	0	11606	0
AHE-L350.fasta	119	801	95319	4770	5.004	396	0.494	282	0.352	0.51	0.49	26947	24216	20073	19242	0	0	32	37	2	0	0	0	0	0	0	82	0	4688	0
AHE-L351.fasta	120	1611	193320	19377	10.023	791	0.491	515	0.32	0.546	0.454	48986	42981	35856	46048	0	0	34	34	1	0	1	1	1	0	0	699	0	18678	0
AHE-L352.fasta	122	1617	197274	16548	8.388	690	0.427	472	0.292	0.528	0.472	49864	39116	46117	45565	3	1	18	37	1	0	1	2	0	1	0	112	0	16436	0
AHE-L353.fasta	121	1053	127413	5910	4.638	593	0.563	432	0.41	0.476	0.524	31619	30062	33547	26207	0	1	38	27	0	0	0	0	0	2	0	92	0	5818	0
AHE-L354.fasta	121	1071	129591	3443	2.657	488	0.456	360	0.336	0.468	0.532	27832	36972	30111	31179	0	0	24	28	0	0	1	1	0	0	0	67	0	3376	0
AHE-L355.fasta	120	1788	214560	12674	5.907	997	0.558	655	0.366	0.548	0.452	73795	37016	54159	36838	0	0	36	42	0	0	0	0	0	0	0	196	0	12478	0
AHE-L356.fasta	121	1182	143022	18012	12.594	662	0.56	468	0.396	0.543	0.457	38502	28550	28493	29433	0	0	20	12	0	0	0	0	0	0	0	90	0	17922	0
AHE-L357.fasta	122	1956	238632	15490	6.491	454	0.232	217	0.111	0.491	0.509	65053	49826	63781	44373	1	4	49	33	2	2	7	5	2	4	0	528	0	14962	0
AHE-L358.fasta	120	909	109080	3141	2.88	506	0.557	348	0.383	0.49	0.51	20608	27022	26939	31322	0	0	15	32	0	0	0	0	1	0	0	60	0	3081	0
AHE-L359.fasta	106	1137	120522	8763	7.271	729	0.641	475	0.418	0.598	0.402	41175	19992	24978	25565	0	0	37	11	0	0	0	1	0	0	0	96	0	8667	0
AHE-L36.fasta	121	1836	222156	12314	5.543	723	0.394	496	0.27	0.574	0.426	56445	41620	47627	64081	0	1	24	43	0	0	0	0	0	1	0	70	0	12244	0
AHE-L360.fasta	121	1380	166980	10266	6.148	861	0.624	565	0.409	0.554	0.446	45597	35027	34745	41248	1	1	63	31	0	0	1	0	0	0	0	240	0	10026	0
AHE-L361.fasta	119	1545	183855	6677	3.632	733	0.474	501	0.324	0.543	0.457	54652	42402	38590	41454	0	1	49	29	0	0	0	0	1	0	0	173	0	6504	0
AHE-L362.fasta	121	1815	219615	23383	10.647	693	0.382	460	0.253	0.556	0.444	60569	42880	44311	48344	3	6	48	47	2	3	4	7	4	4	0	702	0	22681	0
AHE-L363.fasta	115	1416	162840	17448	10.715	904	0.638	566	0.4	0.623	0.377	48382	25952	28700	42271	0	1	47	38	0	0	0	1	0	0	0	435	0	17013	0
AHE-L364.fasta	97	1410	136770	54121	39.571	612	0.434	371	0.263	0.551	0.449	24829	20348	17391	20062	0	1	4	5	1	0	4	1	1	2	0	249	0	53872	0
AHE-L365.fasta	121	1776	214896	10271	4.78	722	0.407	489	0.275	0.52	0.48	64432	54063	44073	41983	0	0	37	34	0	0	0	1	2	0	0	97	0	10174	0
AHE-L366.fasta	122	1875	228750	20642	9.024	1044	0.557	709	0.378	0.54	0.46	55390	45792	50148	56588	2	0	96	83	0	0	4	1	2	2	0	197	0	20445	0
AHE-L367.fasta	121	2085	252285	20883	8.278	703	0.337	487	0.234	0.543	0.457	75587	55899	49860	49982	0	0	39	34	0	0	0	0	1	0	0	102	0	20781	0
AHE-L368.fasta	120	1506	180720	18469	10.22	569	0.378	319	0.212	0.573	0.427	52654	32782	36483	40217	2	4	48	41	5	2	5	1	3	4	0	569	0	17900	0
AHE-L369.fasta	122	1104	134688	5734	4.257	480	0.435	327	0.296	0.539	0.461	37463	35914	23417	32072	1	6	19	44	2	5	4	3	4	0	0	157	0	5577	0
AHE-L37.fasta	122	1113	135786	13570	9.994	471	0.423	268	0.241	0.524	0.476	26813	41237	16841	37245	0	3	14	36	0	7	2	5	6	7	0	688	0	12882	0
AHE-L370.fasta	120	1641	196920	11144	5.659	978	0.596	657	0.4	0.586	0.414	57107	38415	38556	51645	0	0	23	29	1	0	0	0	0	0	0	94	0	11050	0
AHE-L371.fasta	120	1803	216360	30717	14.197	840	0.466	551	0.306	0.533	0.467	54985	43360	43193	44032	0	2	39	31	0	0	0	0	0	1	0	361	0	30356	0
AHE-L372.fasta	122	1548	188856	9487	5.023	803	0.519	552	0.357	0.562	0.438	58646	40025	38521	42123	0	3	28	21	0	0	1	0	0	1	0	187	0	9300	0
AHE-L373.fasta	122	1605	195810	14160	7.231	567	0.353	433	0.27	0.553	0.447	60304	42337	38741	40189	2	0	33	39	0	0	1	1	2	1	0	108	0	14052	0
AHE-L374.fasta	111	1368	151848	8576	5.648	870	0.636	627	0.458	0.548	0.452	44676	30756	34001	33731	0	0	65	43	0	0	0	0	0	0	0	363	0	8213	0
AHE-L376.fasta	90	846	76140	18322	24.064	576	0.681	369	0.436	0.558	0.442	15755	12188	13333	16465	0	1	42	34	0	0	0	0	0	0	0	868	0	17454	0
AHE-L377.fasta	114	1350	153900	4239	2.754	539	0.399	318	0.236	0.592	0.408	45636	33564	27538	42882	0	0	18	23	0	0	0	0	0	0	0	33	0	4206	0
AHE-L378.fasta	114	1209	137826	10084	7.316	599	0.495	347	0.287	0.507	0.493	36198	33597	29137	28743	0	0	32	35	0	0	0	0	0	0	0	239	0	9845	0
AHE-L379.fasta	114	1272	145008	7314	5.044	618	0.486	407	0.32	0.534	0.466	42280	37164	27079	31132	0	0	28	11	0	0	0	0	0	0	0	1250	0	6064	0
AHE-L38.fasta	106	1350	143100	15029	10.502	891	0.66	631	0.467	0.536	0.464	31281	29834	29466	37416	1	0	44	28	0	0	0	0	0	1	0	59	0	14970	0
AHE-L380.fasta	113	1350	152550	6578	4.312	735	0.544	511	0.379	0.517	0.483	44008	32280	38119	31499	0	0	37	29	0	0	0	0	0	0	0	96	0	6482	0
AHE-L381.fasta	114	1374	156636	3893	2.485	478	0.348	331	0.241	0.571	0.429	47130	35897	29694	39981	0	0	25	16	0	0	0	0	0	0	0	36	0	3857	0
AHE-L382.fasta	114	1362	155268	5069	3.265	617	0.453	402	0.295	0.544	0.456	48478	37623	30875	33153	0	0	35	35	0	0	0	0	0	0	0	96	0	4973	0
AHE-L383.fasta	112	726	81312	2686	3.303	429	0.591	303	0.417	0.461	0.539	17742	21200	21189	18466	0	0	12	17	0	0	0	0	0	0	0	113	0	2573	0
AHE-L384.fasta	95	903	85785	6545	7.63	614	0.68	451	0.499	0.507	0.493	23608	21198	17781	16582	0	0	35	36	0	0	0	0	0	0	0	98	0	6447	0
AHE-L385.fasta	98	1359	133182	7396	5.553	913	0.672	624	0.459	0.485	0.515	30304	34177	30562	30605	0	0	77	61	0	0	0	0	0	0	0	79	0	7317	0
AHE-L386.fasta	113	1353	152889	3467	2.268	755	0.558	483	0.357	0.589	0.411	52118	33269	28214	35766	0	0	30	25	0	0	0	0	0	0	0	93	0	3374	0
AHE-L387.fasta	114	999	113886	3176	2.789	508	0.509	332	0.332	0.545	0.455	35381	25828	24492	24983	0	0	19	7	0	0	0	0	0	0	0	138	0	3038	0
AHE-L388.fasta	114	1359	154926	3266	2.108	705	0.519	466	0.343	0.572	0.428	43546	31460	33478	43124	0	0	29	23	0	0	0	0	0	0	0	52	0	3214	0
